search_text,document_id,document_type,trade,certification_group,importance,selection_rule,certification_name,ncs_code,review_status,source_file
"직종 철근콘크리트시공의 추천 자격그룹은 콘크리트·건축시공 상위 자격이며 선택규칙은 하나 이상, 자격증은 건축일반시공산업기사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00011,자격 요건,철근콘크리트시공,콘크리트·건축시공 상위 자격,추천,하나 이상,건축일반시공산업기사,,구조화원본,직종별_자격요건.csv
"직종 철근콘크리트시공의 추천 자격그룹은 콘크리트·건축시공 상위 자격이며 선택규칙은 하나 이상, 자격증은 건축산업기사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00012,자격 요건,철근콘크리트시공,콘크리트·건축시공 상위 자격,추천,하나 이상,건축산업기사,,구조화원본,직종별_자격요건.csv
"직종 철근콘크리트시공의 추천 자격그룹은 콘크리트·건축시공 상위 자격이며 선택규칙은 하나 이상, 자격증은 건축기사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00013,자격 요건,철근콘크리트시공,콘크리트·건축시공 상위 자격,추천,하나 이상,건축기사,,구조화원본,직종별_자격요건.csv
"직종 방수시공의 핵심 자격그룹은 방수 직접 자격이며 선택규칙은 하나 이상, 자격증은 방수기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00014,자격 요건,방수시공,방수 직접 자격,핵심,하나 이상,방수기능사,,구조화원본,직종별_자격요건.csv
"직종 방수시공의 핵심 자격그룹은 방수 직접 자격이며 선택규칙은 하나 이상, 자격증은 방수산업기사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00015,자격 요건,방수시공,방수 직접 자격,핵심,하나 이상,방수산업기사,,구조화원본,직종별_자격요건.csv
"직종 조적미장시공의 핵심 자격그룹은 조적·미장 직접 자격이며 선택규칙은 하나 이상, 자격증은 조적기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00016,자격 요건,조적미장시공,조적·미장 직접 자격,핵심,하나 이상,조적기능사,,구조화원본,직종별_자격요건.csv
"직종 조적미장시공의 핵심 자격그룹은 조적·미장 직접 자격이며 선택규칙은 하나 이상, 자격증은 미장기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00017,자격 요건,조적미장시공,조적·미장 직접 자격,핵심,하나 이상,미장기능사,,구조화원본,직종별_자격요건.csv
"직종 조적미장시공의 추천 자격그룹은 인접 건축시공 자격이며 선택규칙은 하나 이상, 자격증은 온수온돌기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00018,자격 요건,조적미장시공,인접 건축시공 자격,추천,하나 이상,온수온돌기능사,,구조화원본,직종별_자격요건.csv
"직종 조적미장시공의 추천 자격그룹은 인접 건축시공 자격이며 선택규칙은 하나 이상, 자격증은 건축일반시공산업기사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00019,자격 요건,조적미장시공,인접 건축시공 자격,추천,하나 이상,건축일반시공산업기사,,구조화원본,직종별_자격요건.csv
"직종 타일석공시공의 핵심 자격그룹은 타일·석공 직접 자격이며 선택규칙은 하나 이상, 자격증은 타일기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00020,자격 요건,타일석공시공,타일·석공 직접 자격,핵심,하나 이상,타일기능사,,구조화원본,직종별_자격요건.csv
"직종 타일석공시공의 핵심 자격그룹은 타일·석공 직접 자격이며 선택규칙은 하나 이상, 자격증은 석공기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00021,자격 요건,타일석공시공,타일·석공 직접 자격,핵심,하나 이상,석공기능사,,구조화원본,직종별_자격요건.csv
"직종 타일석공시공의 추천 자격그룹은 건축일반시공 상위 자격이며 선택규칙은 하나 이상, 자격증은 건축일반시공산업기사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00022,자격 요건,타일석공시공,건축일반시공 상위 자격,추천,하나 이상,건축일반시공산업기사,,구조화원본,직종별_자격요건.csv
"직종 타일석공시공의 추천 자격그룹은 건축일반시공 상위 자격이며 선택규칙은 하나 이상, 자격증은 건축기사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00023,자격 요건,타일석공시공,건축일반시공 상위 자격,추천,하나 이상,건축기사,,구조화원본,직종별_자격요건.csv
"직종 도장시공의 핵심 자격그룹은 건축도장 직접 자격이며 선택규칙은 하나 이상, 자격증은 건축도장기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00024,자격 요건,도장시공,건축도장 직접 자격,핵심,하나 이상,건축도장기능사,,구조화원본,직종별_자격요건.csv
"직종 도장시공의 추천 자격그룹은 건축시공 관련 상위 자격이며 선택규칙은 하나 이상, 자격증은 건축일반시공산업기사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00025,자격 요건,도장시공,건축시공 관련 상위 자격,추천,하나 이상,건축일반시공산업기사,,구조화원본,직종별_자격요건.csv
"직종 도장시공의 추천 자격그룹은 건축시공 관련 상위 자격이며 선택규칙은 하나 이상, 자격증은 건축산업기사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00026,자격 요건,도장시공,건축시공 관련 상위 자격,추천,하나 이상,건축산업기사,,구조화원본,직종별_자격요건.csv
"직종 도장시공의 추천 자격그룹은 건축시공 관련 상위 자격이며 선택규칙은 하나 이상, 자격증은 건축기사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00027,자격 요건,도장시공,건축시공 관련 상위 자격,추천,하나 이상,건축기사,,구조화원본,직종별_자격요건.csv
"직종 비계시공의 핵심 자격그룹은 비계 직접 자격이며 선택규칙은 하나 이상, 자격증은 비계기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00028,자격 요건,비계시공,비계 직접 자격,핵심,하나 이상,비계기능사,,구조화원본,직종별_자격요건.csv
"직종 비계시공의 안전 관련 자격그룹은 건설·산업안전 관련 자격이며 선택규칙은 하나 이상, 자격증은 건설안전산업기사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00029,자격 요건,비계시공,건설·산업안전 관련 자격,안전 관련,하나 이상,건설안전산업기사,,구조화원본,직종별_자격요건.csv
"직종 비계시공의 안전 관련 자격그룹은 건설·산업안전 관련 자격이며 선택규칙은 하나 이상, 자격증은 건설안전기사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00030,자격 요건,비계시공,건설·산업안전 관련 자격,안전 관련,하나 이상,건설안전기사,,구조화원본,직종별_자격요건.csv
"직종 비계시공의 안전 관련 자격그룹은 건설·산업안전 관련 자격이며 선택규칙은 하나 이상, 자격증은 산업안전산업기사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00031,자격 요건,비계시공,건설·산업안전 관련 자격,안전 관련,하나 이상,산업안전산업기사,,구조화원본,직종별_자격요건.csv
"직종 비계시공의 안전 관련 자격그룹은 건설·산업안전 관련 자격이며 선택규칙은 하나 이상, 자격증은 산업안전기사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00032,자격 요건,비계시공,건설·산업안전 관련 자격,안전 관련,하나 이상,산업안전기사,,구조화원본,직종별_자격요건.csv
"직종 배관시공의 핵심 자격그룹은 배관 직접 자격이며 선택규칙은 하나 이상, 자격증은 배관기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00033,자격 요건,배관시공,배관 직접 자격,핵심,하나 이상,배관기능사,,구조화원본,직종별_자격요건.csv
"직종 배관시공의 핵심 자격그룹은 배관 직접 자격이며 선택규칙은 하나 이상, 자격증은 배관산업기사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00034,자격 요건,배관시공,배관 직접 자격,핵심,하나 이상,배관산업기사,,구조화원본,직종별_자격요건.csv
"직종 배관시공의 추천 자격그룹은 설비 분야 보조 자격이며 선택규칙은 하나 이상, 자격증은 공조냉동기계기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00035,자격 요건,배관시공,설비 분야 보조 자격,추천,하나 이상,공조냉동기계기능사,,구조화원본,직종별_자격요건.csv
"직종 배관시공의 추천 자격그룹은 설비 분야 보조 자격이며 선택규칙은 하나 이상, 자격증은 공조냉동기계산업기사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00036,자격 요건,배관시공,설비 분야 보조 자격,추천,하나 이상,공조냉동기계산업기사,,구조화원본,직종별_자격요건.csv
"직종 배관시공의 추천 자격그룹은 설비 분야 보조 자격이며 선택규칙은 하나 이상, 자격증은 가스기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00037,자격 요건,배관시공,설비 분야 보조 자격,추천,하나 이상,가스기능사,,구조화원본,직종별_자격요건.csv
"직종 배관시공의 추천 자격그룹은 설비 분야 보조 자격이며 선택규칙은 하나 이상, 자격증은 에너지관리기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00038,자격 요건,배관시공,설비 분야 보조 자격,추천,하나 이상,에너지관리기능사,,구조화원본,직종별_자격요건.csv
"직종 용접의 핵심 자격그룹은 현장 용접 공정 자격이며 선택규칙은 하나 이상, 자격증은 피복아크용접기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00039,자격 요건,용접,현장 용접 공정 자격,핵심,하나 이상,피복아크용접기능사,,구조화원본,직종별_자격요건.csv
"직종 용접의 핵심 자격그룹은 현장 용접 공정 자격이며 선택규칙은 하나 이상, 자격증은 가스텅스텐아크용접기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00040,자격 요건,용접,현장 용접 공정 자격,핵심,하나 이상,가스텅스텐아크용접기능사,,구조화원본,직종별_자격요건.csv
"직종 용접의 핵심 자격그룹은 현장 용접 공정 자격이며 선택규칙은 하나 이상, 자격증은 이산화탄소가스아크용접기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00041,자격 요건,용접,현장 용접 공정 자격,핵심,하나 이상,이산화탄소가스아크용접기능사,,구조화원본,직종별_자격요건.csv
"직종 용접의 핵심 자격그룹은 현장 용접 공정 자격이며 선택규칙은 하나 이상, 자격증은 특수용접기능사(구)이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00042,자격 요건,용접,현장 용접 공정 자격,핵심,하나 이상,특수용접기능사(구),,구조화원본,직종별_자격요건.csv
"직종 용접의 추천 자격그룹은 용접 상위 자격이며 선택규칙은 하나 이상, 자격증은 용접산업기사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00043,자격 요건,용접,용접 상위 자격,추천,하나 이상,용접산업기사,,구조화원본,직종별_자격요건.csv
"직종 용접의 추천 자격그룹은 용접 상위 자격이며 선택규칙은 하나 이상, 자격증은 용접기사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00044,자격 요건,용접,용접 상위 자격,추천,하나 이상,용접기사,,구조화원본,직종별_자격요건.csv
"직종 용접의 추천 자격그룹은 용접 상위 자격이며 선택규칙은 하나 이상, 자격증은 용접기능장이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00045,자격 요건,용접,용접 상위 자격,추천,하나 이상,용접기능장,,구조화원본,직종별_자격요건.csv
"직종 용접의 추천 자격그룹은 용접 상위 자격이며 선택규칙은 하나 이상, 자격증은 용접기술사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00046,자격 요건,용접,용접 상위 자격,추천,하나 이상,용접기술사,,구조화원본,직종별_자격요건.csv
"직종 용접의 관련 자격그룹은 현장·발주처별 용접 인증이며 선택규칙은 하나 이상, 자격증은 ASME용접사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00047,자격 요건,용접,현장·발주처별 용접 인증,관련,하나 이상,ASME용접사,,구조화원본,직종별_자격요건.csv
"직종 용접의 관련 자격그룹은 현장·발주처별 용접 인증이며 선택규칙은 하나 이상, 자격증은 AWS용접사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00048,자격 요건,용접,현장·발주처별 용접 인증,관련,하나 이상,AWS용접사,,구조화원본,직종별_자격요건.csv
"직종 용접의 관련 자격그룹은 현장·발주처별 용접 인증이며 선택규칙은 하나 이상, 자격증은 선급용접사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00049,자격 요건,용접,현장·발주처별 용접 인증,관련,하나 이상,선급용접사,,구조화원본,직종별_자격요건.csv
"직종 건설기계운전의 핵심 자격그룹은 지원 장비에 맞는 운전 자격이며 선택규칙은 하나 이상, 자격증은 굴착기운전기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00050,자격 요건,건설기계운전,지원 장비에 맞는 운전 자격,핵심,하나 이상,굴착기운전기능사,,구조화원본,직종별_자격요건.csv
"직종 건설기계운전의 핵심 자격그룹은 지원 장비에 맞는 운전 자격이며 선택규칙은 하나 이상, 자격증은 지게차운전기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00051,자격 요건,건설기계운전,지원 장비에 맞는 운전 자격,핵심,하나 이상,지게차운전기능사,,구조화원본,직종별_자격요건.csv
"직종 건설기계운전의 핵심 자격그룹은 지원 장비에 맞는 운전 자격이며 선택규칙은 하나 이상, 자격증은 기중기운전기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00052,자격 요건,건설기계운전,지원 장비에 맞는 운전 자격,핵심,하나 이상,기중기운전기능사,,구조화원본,직종별_자격요건.csv
"직종 건설기계운전의 핵심 자격그룹은 지원 장비에 맞는 운전 자격이며 선택규칙은 하나 이상, 자격증은 로더운전기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00053,자격 요건,건설기계운전,지원 장비에 맞는 운전 자격,핵심,하나 이상,로더운전기능사,,구조화원본,직종별_자격요건.csv
"직종 건설기계운전의 핵심 자격그룹은 지원 장비에 맞는 운전 자격이며 선택규칙은 하나 이상, 자격증은 롤러운전기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00054,자격 요건,건설기계운전,지원 장비에 맞는 운전 자격,핵심,하나 이상,롤러운전기능사,,구조화원본,직종별_자격요건.csv
"직종 건설기계운전의 핵심 자격그룹은 지원 장비에 맞는 운전 자격이며 선택규칙은 하나 이상, 자격증은 불도저운전기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00055,자격 요건,건설기계운전,지원 장비에 맞는 운전 자격,핵심,하나 이상,불도저운전기능사,,구조화원본,직종별_자격요건.csv
"직종 건설기계운전의 핵심 자격그룹은 지원 장비에 맞는 운전 자격이며 선택규칙은 하나 이상, 자격증은 천공기운전기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00056,자격 요건,건설기계운전,지원 장비에 맞는 운전 자격,핵심,하나 이상,천공기운전기능사,,구조화원본,직종별_자격요건.csv
"직종 건설기계운전의 핵심 자격그룹은 지원 장비에 맞는 운전 자격이며 선택규칙은 하나 이상, 자격증은 타워크레인운전기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00057,자격 요건,건설기계운전,지원 장비에 맞는 운전 자격,핵심,하나 이상,타워크레인운전기능사,,구조화원본,직종별_자격요건.csv
"직종 건설기계운전의 핵심 자격그룹은 지원 장비에 맞는 운전 자격이며 선택규칙은 하나 이상, 자격증은 천장크레인운전기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00058,자격 요건,건설기계운전,지원 장비에 맞는 운전 자격,핵심,하나 이상,천장크레인운전기능사,,구조화원본,직종별_자격요건.csv
"직종 건설기계운전의 핵심 자격그룹은 지원 장비에 맞는 운전 자격이며 선택규칙은 하나 이상, 자격증은 컨테이너크레인운전기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00059,자격 요건,건설기계운전,지원 장비에 맞는 운전 자격,핵심,하나 이상,컨테이너크레인운전기능사,,구조화원본,직종별_자격요건.csv
